"Mobiliteit; per persoon, persoonskenmerken, motieven en regio's"
"Populatie: Populatie: 6 jaar of ouder"
"Marges: Waarde"
"Geslacht: Totaal mannen en vrouwen"
""
"Persoonskenmerken";"Participatie:student/scholier";"Participatie:student/scholier";"Participatie:student/scholier";"Participatie:student/scholier";"Participatie:student/scholier";"Participatie:student/scholier";"Participatie:student/scholier";"Participatie:student/scholier";"Participatie:student/scholier";"Participatie:student/scholier";"Participatie:student/scholier";"Participatie:student/scholier";"Participatie:student/scholier";"Participatie:student/scholier";"Participatie:student/scholier";"Participatie:student/scholier";"Participatie:student/scholier";"Participatie:student/scholier";"Participatie:student/scholier";"Participatie:student/scholier";"Participatie:student/scholier";"Participatie:student/scholier";"Participatie:student/scholier";"Participatie:student/scholier"
"Onderwerp";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Verplaatsingen ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand ";"Gemiddeld per persoon per dag |Afstand "
"Regio's";"Nederland";"Nederland";"Zeer sterk stedelijk";"Zeer sterk stedelijk";"Sterk stedelijk";"Sterk stedelijk";"Matig stedelijk";"Matig stedelijk";"Weinig stedelijk";"Weinig stedelijk";"Niet stedelijk";"Niet stedelijk";"Nederland";"Nederland";"Zeer sterk stedelijk";"Zeer sterk stedelijk";"Sterk stedelijk";"Sterk stedelijk";"Matig stedelijk";"Matig stedelijk";"Weinig stedelijk";"Weinig stedelijk";"Niet stedelijk";"Niet stedelijk"
"Perioden";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023"
"Reismotieven";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers"
"Totaal";"2,79";"2,68";"2,65";"2,51";"2,76";"2,71";"2,89";"2,74";"2,95";"2,83";"2,80";"2,76";"25,67";"23,66";"23,95";"20,01";"23,94";"23,49";"24,72";"23,99";"29,39";"26,65";"30,81";"31,16"
"Van en naar het werk";"0,15";"0,14";"0,15";"0,12";"0,14";"0,14";"0,13";"0,13";"0,18";"0,16";"0,17";"0,17";"1,57";"1,12";"1,43";"0,81";"1,60";"1,36";"1,20";"0,81";"1,49";"1,32";".";"."
"Winkelen, boodschappen doen";"0,29";"0,32";"0,35";"0,39";"0,28";"0,32";"0,29";"0,30";"0,24";"0,28";"0,25";"0,24";"1,68";"1,80";"1,28";"1,51";"1,17";"1,56";"2,35";"1,80";"2,02";"2,44";"2,91";"."
"Onderwijs volgen, cursus, kinderopvang";"0,98";"0,85";"0,91";"0,75";"0,97";"0,90";"1,06";"0,90";"1,05";"0,90";"0,91";"0,82";"7,49";"6,21";"6,23";"4,34";"6,93";"6,49";"8,06";"6,65";"8,69";"7,40";"9,84";"8,74"
"Visite, logeren";"0,29";"0,29";"0,25";"0,24";"0,31";"0,29";"0,29";"0,30";"0,32";"0,33";"0,30";"0,34";"4,67";"4,34";"5,30";"4,49";"4,83";"4,26";"3,97";"4,47";"4,47";"4,03";"3,72";"4,70"
"Uitgaan, sport, hobby";"0,78";"0,74";"0,70";"0,68";"0,77";"0,73";"0,80";"0,78";"0,89";"0,80";"0,81";"0,79";"7,06";"7,21";"6,36";"5,77";"6,26";"7,16";"6,06";"7,09";"9,63";"8,61";"7,99";"10,00"
"Bron: CBS"
