"Gebieden in Nederland 2022"
""
"";"Onderwerp"
"";"Grootte en stedelijkheid van gemeenten|Stedelijkheid|Code";"Grootte en stedelijkheid van gemeenten|Stedelijkheid|Omschrijving";"Statistische gegevens|Omgevingsadressendichtheid"
"Regio's";"code";"omschrijving";"per km2"
"Aa en Hunze";"5";"Nietstedelijk";"283"
"Aalsmeer";"4";"Weinigstedelijk";"940"
"Aalten";"4";"Weinigstedelijk";"778"
"Achtkarspelen";"5";"Nietstedelijk";"434"
"Alblasserdam";"2";"Sterkstedelijk";"1527"
"Albrandswaard";"3";"Matigstedelijk";"1044"
"Alkmaar";"2";"Sterkstedelijk";"2314"
"Almelo";"2";"Sterkstedelijk";"1604"
"Almere";"2";"Sterkstedelijk";"1620"
"Alphen aan den Rijn";"2";"Sterkstedelijk";"1884"
"Alphen-Chaam";"5";"Nietstedelijk";"324"
"Altena";"4";"Weinigstedelijk";"508"
"Ameland";"5";"Nietstedelijk";"260"
"Amersfoort";"2";"Sterkstedelijk";"2378"
"Amstelveen";"1";"Zeersterkstedelijk";"2509"
"Amsterdam";"1";"Zeersterkstedelijk";"6142"
"Apeldoorn";"2";"Sterkstedelijk";"1776"
"Arnhem";"2";"Sterkstedelijk";"2284"
"Assen";"2";"Sterkstedelijk";"1588"
"Asten";"3";"Matigstedelijk";"1000"
"Baarle-Nassau";"5";"Nietstedelijk";"353"
"Baarn";"2";"Sterkstedelijk";"1624"
"Barendrecht";"2";"Sterkstedelijk";"1680"
"Barneveld";"4";"Weinigstedelijk";"889"
"Beek (L.)";"4";"Weinigstedelijk";"892"
"Beekdaelen";"4";"Weinigstedelijk";"500"
"Beesel";"4";"Weinigstedelijk";"758"
"Berg en Dal";"4";"Weinigstedelijk";"651"
"Bergeijk";"4";"Weinigstedelijk";"511"
"Bergen (L.)";"5";"Nietstedelijk";"318"
"Bergen (NH.)";"4";"Weinigstedelijk";"821"
"Bergen op Zoom";"2";"Sterkstedelijk";"1860"
"Berkelland";"4";"Weinigstedelijk";"657"
"Bernheze";"4";"Weinigstedelijk";"692"
"Best";"3";"Matigstedelijk";"1452"
"Beuningen";"3";"Matigstedelijk";"1006"
"Beverwijk";"1";"Zeersterkstedelijk";"2753"
"De Bilt";"3";"Matigstedelijk";"1277"
"Bladel";"4";"Weinigstedelijk";"698"
"Blaricum";"3";"Matigstedelijk";"1088"
"Bloemendaal";"3";"Matigstedelijk";"1091"
"Bodegraven-Reeuwijk";"3";"Matigstedelijk";"1150"
"Boekel";"4";"Weinigstedelijk";"560"
"Borger-Odoorn";"5";"Nietstedelijk";"262"
"Borne";"3";"Matigstedelijk";"1247"
"Borsele";"5";"Nietstedelijk";"323"
"Boxtel";"3";"Matigstedelijk";"1168"
"Breda";"2";"Sterkstedelijk";"2219"
"Brielle";"4";"Weinigstedelijk";"911"
"Bronckhorst";"5";"Nietstedelijk";"381"
"Brummen";"4";"Weinigstedelijk";"781"
"Brunssum";"2";"Sterkstedelijk";"1669"
"Bunnik";"4";"Weinigstedelijk";"677"
"Bunschoten";"3";"Matigstedelijk";"1202"
"Buren";"5";"Nietstedelijk";"294"
"Capelle aan den IJssel";"2";"Sterkstedelijk";"2324"
"Castricum";"3";"Matigstedelijk";"1349"
"Coevorden";"4";"Weinigstedelijk";"502"
"Cranendonck";"4";"Weinigstedelijk";"597"
"Culemborg";"3";"Matigstedelijk";"1482"
"Dalfsen";"4";"Weinigstedelijk";"514"
"Dantumadiel";"5";"Nietstedelijk";"458"
"Delft";"1";"Zeersterkstedelijk";"3606"
"Deurne";"4";"Weinigstedelijk";"898"
"Deventer";"2";"Sterkstedelijk";"1836"
"Diemen";"1";"Zeersterkstedelijk";"2907"
"Dijk en Waard";"3";"Matigstedelijk";"1449"
"Dinkelland";"5";"Nietstedelijk";"472"
"Doesburg";"4";"Weinigstedelijk";"797"
"Doetinchem";"3";"Matigstedelijk";"1166"
"Dongen";"3";"Matigstedelijk";"1235"
"Dordrecht";"1";"Zeersterkstedelijk";"2526"
"Drechterland";"4";"Weinigstedelijk";"508"
"Drimmelen";"4";"Weinigstedelijk";"795"
"Dronten";"4";"Weinigstedelijk";"781"
"Druten";"4";"Weinigstedelijk";"810"
"Duiven";"3";"Matigstedelijk";"1158"
"Echt-Susteren";"4";"Weinigstedelijk";"716"
"Edam-Volendam";"3";"Matigstedelijk";"1320"
"Ede";"2";"Sterkstedelijk";"1581"
"Eemnes";"4";"Weinigstedelijk";"960"
"Eemsdelta";"4";"Weinigstedelijk";"706"
"Eersel";"4";"Weinigstedelijk";"586"
"Eijsden-Margraten";"5";"Nietstedelijk";"467"
"Eindhoven";"1";"Zeersterkstedelijk";"2766"
"Elburg";"4";"Weinigstedelijk";"687"
"Emmen";"4";"Weinigstedelijk";"861"
"Enkhuizen";"3";"Matigstedelijk";"1384"
"Enschede";"2";"Sterkstedelijk";"2200"
"Epe";"4";"Weinigstedelijk";"732"
"Ermelo";"4";"Weinigstedelijk";"921"
"Etten-Leur";"2";"Sterkstedelijk";"1675"
"De Fryske Marren";"4";"Weinigstedelijk";"557"
"Geertruidenberg";"3";"Matigstedelijk";"1115"
"Geldrop-Mierlo";"3";"Matigstedelijk";"1372"
"Gemert-Bakel";"4";"Weinigstedelijk";"792"
"Gennep";"4";"Weinigstedelijk";"651"
"Gilze en Rijen";"3";"Matigstedelijk";"1091"
"Goeree-Overflakkee";"4";"Weinigstedelijk";"632"
"Goes";"3";"Matigstedelijk";"1366"
"Goirle";"3";"Matigstedelijk";"1188"
"Gooise Meren";"2";"Sterkstedelijk";"1908"
"Gorinchem";"2";"Sterkstedelijk";"1739"
"Gouda";"1";"Zeersterkstedelijk";"2549"
"'s-Gravenhage (gemeente)";"1";"Zeersterkstedelijk";"5016"
"Groningen (gemeente)";"1";"Zeersterkstedelijk";"3373"
"Gulpen-Wittem";"5";"Nietstedelijk";"285"
"Haaksbergen";"3";"Matigstedelijk";"1042"
"Haarlem";"1";"Zeersterkstedelijk";"3611"
"Haarlemmermeer";"2";"Sterkstedelijk";"1528"
"Halderberge";"4";"Weinigstedelijk";"760"
"Hardenberg";"4";"Weinigstedelijk";"568"
"Harderwijk";"2";"Sterkstedelijk";"1567"
"Hardinxveld-Giessendam";"4";"Weinigstedelijk";"987"
"Harlingen";"3";"Matigstedelijk";"1068"
"Hattem";"4";"Weinigstedelijk";"849"
"Heemskerk";"2";"Sterkstedelijk";"2352"
"Heemstede";"2";"Sterkstedelijk";"1782"
"Heerde";"4";"Weinigstedelijk";"625"
"Heerenveen";"3";"Matigstedelijk";"1092"
"Heerlen";"2";"Sterkstedelijk";"1830"
"Heeze-Leende";"4";"Weinigstedelijk";"585"
"Heiloo";"3";"Matigstedelijk";"1376"
"Den Helder";"2";"Sterkstedelijk";"1692"
"Hellendoorn";"4";"Weinigstedelijk";"825"
"Hellevoetsluis";"2";"Sterkstedelijk";"1528"
"Helmond";"2";"Sterkstedelijk";"1811"
"Hendrik-Ido-Ambacht";"2";"Sterkstedelijk";"1862"
"Hengelo (O.)";"2";"Sterkstedelijk";"1860"
"'s-Hertogenbosch";"2";"Sterkstedelijk";"1998"
"Heumen";"4";"Weinigstedelijk";"797"
"Heusden";"3";"Matigstedelijk";"1108"
"Hillegom";"2";"Sterkstedelijk";"1580"
"Hilvarenbeek";"4";"Weinigstedelijk";"593"
"Hilversum";"1";"Zeersterkstedelijk";"2781"
"Hoeksche Waard";"4";"Weinigstedelijk";"834"
"Hof van Twente";"4";"Weinigstedelijk";"608"
"Het Hogeland";"5";"Nietstedelijk";"415"
"Hollands Kroon";"5";"Nietstedelijk";"439"
"Hoogeveen";"3";"Matigstedelijk";"1222"
"Hoorn";"2";"Sterkstedelijk";"1709"
"Horst aan de Maas";"4";"Weinigstedelijk";"576"
"Houten";"2";"Sterkstedelijk";"1563"
"Huizen";"2";"Sterkstedelijk";"2048"
"Hulst";"4";"Weinigstedelijk";"513"
"IJsselstein";"2";"Sterkstedelijk";"1869"
"Kaag en Braassem";"4";"Weinigstedelijk";"655"
"Kampen";"3";"Matigstedelijk";"1480"
"Kapelle";"4";"Weinigstedelijk";"656"
"Katwijk";"2";"Sterkstedelijk";"2173"
"Kerkrade";"2";"Sterkstedelijk";"1757"
"Koggenland";"5";"Nietstedelijk";"435"
"Krimpen aan den IJssel";"2";"Sterkstedelijk";"1967"
"Krimpenerwaard";"4";"Weinigstedelijk";"789"
"Laarbeek";"4";"Weinigstedelijk";"652"
"Land van Cuijk";"4";"Weinigstedelijk";"638"
"Landgraaf";"3";"Matigstedelijk";"1456"
"Landsmeer";"3";"Matigstedelijk";"1038"
"Lansingerland";"3";"Matigstedelijk";"1342"
"Laren (NH.)";"3";"Matigstedelijk";"1108"
"Leeuwarden";"2";"Sterkstedelijk";"2173"
"Leiden";"1";"Zeersterkstedelijk";"3848"
"Leiderdorp";"1";"Zeersterkstedelijk";"2522"
"Leidschendam-Voorburg";"1";"Zeersterkstedelijk";"2949"
"Lelystad";"3";"Matigstedelijk";"1397"
"Leudal";"5";"Nietstedelijk";"394"
"Leusden";"3";"Matigstedelijk";"1276"
"Lingewaard";"4";"Weinigstedelijk";"968"
"Lisse";"2";"Sterkstedelijk";"1652"
"Lochem";"4";"Weinigstedelijk";"601"
"Loon op Zand";"3";"Matigstedelijk";"1065"
