"Mobiliteit: per verplaatsing, verplaatsingskenmerken, motieven, regio's"
"Populatie: Populatie: 6 jaar of ouder"
"Marges: Waarde"
"";""
"";"Onderwerp";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing"
"";"Regiokenmerken";"Nederland";"Nederland";"Nederland";"Nederland";"Noord-Holland (PV)";"Noord-Holland (PV)";"Noord-Holland (PV)";"Noord-Holland (PV)";"Zeer sterk stedelijk";"Zeer sterk stedelijk";"Zeer sterk stedelijk";"Zeer sterk stedelijk";"Sterk stedelijk";"Sterk stedelijk";"Sterk stedelijk";"Sterk stedelijk";"Matig stedelijk";"Matig stedelijk";"Matig stedelijk";"Matig stedelijk";"Weinig stedelijk";"Weinig stedelijk";"Weinig stedelijk";"Weinig stedelijk";"Niet stedelijk";"Niet stedelijk";"Niet stedelijk";"Niet stedelijk";"Nederland";"Nederland";"Nederland";"Nederland";"Noord-Holland (PV)";"Noord-Holland (PV)";"Noord-Holland (PV)";"Noord-Holland (PV)";"Zeer sterk stedelijk";"Zeer sterk stedelijk";"Zeer sterk stedelijk";"Zeer sterk stedelijk";"Sterk stedelijk";"Sterk stedelijk";"Sterk stedelijk";"Sterk stedelijk";"Matig stedelijk";"Matig stedelijk";"Matig stedelijk";"Matig stedelijk";"Weinig stedelijk";"Weinig stedelijk";"Weinig stedelijk";"Weinig stedelijk";"Niet stedelijk";"Niet stedelijk";"Niet stedelijk";"Niet stedelijk"
"";"Perioden";"2019";"2020";"2021";"2022";"2019";"2020";"2021";"2022";"2019";"2020";"2021";"2022";"2019";"2020";"2021";"2022";"2019";"2020";"2021";"2022";"2019";"2020";"2021";"2022";"2019";"2020";"2021";"2022";"2019";"2020";"2021";"2022";"2019";"2020";"2021";"2022";"2019";"2020";"2021";"2022";"2019";"2020";"2021";"2022";"2019";"2020";"2021";"2022";"2019";"2020";"2021";"2022";"2019";"2020";"2021";"2022"
"Verplaatsingskenmerken";"Reismotieven";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten"
"Totaal ";"Totaal";"13,29";"10,58";"10,87";"11,20";"12,67";"9,99";"10,27";"10,59";"12,11";"9,71";"9,86";"10,12";"13,17";"10,39";"10,74";"11,20";"13,24";"10,41";"10,73";"11,06";"13,89";"11,17";"11,52";"12,05";"15,68";"12,46";"12,93";"12,73";"27,46";"26,34";"27,87";"26,96";"29,62";"27,65";"29,57";"28,44";"29,55";"28,78";"30,42";"28,95";"27,08";"25,97";"27,30";"26,64";"26,51";"25,04";"26,32";"26,16";"26,24";"25,43";"26,86";"25,90";"28,06";"26,05";"28,39";"26,66"
"Totaal ";"Van en naar het werk";"19,26";"16,66";"16,54";"17,61";"18,32";"15,86";"15,51";"16,37";"17,26";"15,14";"14,73";"15,28";"19,30";"17,27";"16,19";"18,43";"19,99";"15,82";"16,64";"17,52";"19,79";"17,08";"17,65";"19,00";"22,01";"18,89";"18,89";"17,62";"29,92";"26,13";"25,88";"27,96";"33,08";"28,53";"27,75";"29,18";"32,46";"29,36";"28,92";"30,24";"30,36";"26,56";"25,56";"28,81";"29,24";"23,88";"24,49";"26,77";"27,86";"24,37";"24,79";"26,43";"27,74";"26,15";"25,09";"24,96"
"Totaal ";"Zakelijk, beroepsmatig";"30,56";"25,76";"25,26";"25,43";"29,36";"21,05";"20,18";"24,20";"27,80";"25,00";"20,67";"23,37";"31,01";"26,14";"26,31";"26,59";"31,77";"28,81";"24,87";"26,97";"31,28";"23,15";"26,25";"24,28";"31,44";"28,20";"29,18";"26,52";"37,15";"32,36";"32,80";"33,17";"38,69";"30,73";"30,96";"32,88";"38,68";"34,28";"33,37";"36,14";"36,93";"33,13";"33,85";"34,07";"36,42";"33,12";"30,12";"33,12";"36,99";"30,31";"32,69";"30,15";"36,07";"31,54";"33,48";"31,07"
"Totaal ";"Winkelen, boodschappen doen";"5,75";"4,49";"4,59";"4,92";"4,99";"4,03";"3,88";"4,27";"4,31";"3,36";"3,45";"3,77";"5,32";"4,18";"4,55";"4,87";"6,46";"4,59";"4,18";"5,01";"6,85";"5,60";"5,74";"5,70";"7,90";"6,61";"6,88";"7,31";"15,11";"13,00";"13,70";"14,03";"15,47";"13,64";"14,09";"14,70";"15,48";"13,58";"14,30";"14,63";"14,74";"12,73";"13,65";"14,00";"15,02";"12,37";"12,51";"13,60";"14,98";"12,91";"13,72";"13,42";"16,07";"13,76";"14,18";"14,84"
"Totaal ";"Onderwijs volgen, cursus, kinderopvang";"9,25";"7,44";"8,13";"8,86";"8,33";"7,27";"7,91";"9,16";"7,54";"6,18";"6,57";"7,05";"9,22";"6,64";"7,66";"7,88";"9,01";"7,25";"8,44";"9,25";"10,25";"8,73";"9,85";"10,62";"13,21";"11,18";"10,07";"13,73";"23,36";"21,02";"22,27";"23,74";"23,61";"22,04";"22,75";"25,59";"22,37";"20,67";"22,39";"23,21";"21,79";"19,32";"20,94";"21,84";"23,19";"20,48";"21,13";"23,58";"24,68";"22,17";"24,41";"25,10";"30,35";"26,51";"24,07";"30,21"
"Totaal ";"Visite, logeren";"21,41";"17,10";"18,02";"19,08";"22,25";"17,72";"19,75";"20,97";"24,55";"20,39";"21,91";"21,71";"22,09";"17,79";"18,40";"19,87";"20,04";"15,43";"16,51";"17,61";"18,89";"15,41";"15,39";"17,18";"21,09";"14,89";"17,38";"17,55";"29,84";"25,78";"27,12";"28,13";"35,69";"28,05";"30,81";"31,60";"37,59";"32,45";"33,52";"33,22";"30,16";"25,61";"27,35";"28,91";"26,88";"24,40";"25,29";"26,74";"25,24";"22,66";"23,02";"24,34";"28,56";"21,79";"25,29";"24,90"
"Totaal ";"Uitgaan, sport, hobby";"13,09";"11,23";"12,55";"11,84";"12,57";"11,12";"12,39";"11,00";"11,52";"10,26";"12,08";"10,34";"13,54";"11,03";"12,83";"11,95";"12,96";"11,31";"12,66";"11,44";"13,66";"11,38";"12,51";"13,25";"15,02";"14,63";"13,04";"13,68";"28,99";"31,80";"34,91";"30,27";"31,64";"33,26";"38,11";"32,34";"31,35";"35,29";"38,39";"32,39";"29,53";"31,70";"35,01";"30,04";"28,63";"29,90";"33,05";"29,15";"25,79";"29,65";"32,12";"29,00";"29,31";"30,64";"34,31";"29,85"
