"Mobiliteit: per verplaatsing, verplaatsingskenmerken, motieven, regio's"
"Populatie: Populatie: 6 jaar of ouder"
"Marges: Waarde"
"";""
"";"Onderwerp";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing"
"";"Regiokenmerken";"Nederland";"Nederland";"Zeer sterk stedelijk";"Zeer sterk stedelijk";"Sterk stedelijk";"Sterk stedelijk";"Matig stedelijk";"Matig stedelijk";"Weinig stedelijk";"Weinig stedelijk";"Niet stedelijk";"Niet stedelijk";"Nederland";"Nederland";"Zeer sterk stedelijk";"Zeer sterk stedelijk";"Sterk stedelijk";"Sterk stedelijk";"Matig stedelijk";"Matig stedelijk";"Weinig stedelijk";"Weinig stedelijk";"Niet stedelijk";"Niet stedelijk"
"";"Perioden";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023"
"Verplaatsingskenmerken";"Reismotieven";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten"
"Totaal ";"Totaal";"13,29";"11,76";"12,11";"10,57";"13,17";"11,76";"13,24";"11,80";"13,89";"12,45";"15,68";"13,78";"27,46";"27,05";"29,55";"29,29";"27,08";"26,78";"26,51";"25,96";"26,24";"25,82";"28,06";"26,73"
"Totaal ";"Van en naar het werk";"19,26";"18,33";"17,26";"16,35";"19,30";"18,84";"19,99";"18,50";"19,79";"19,28";"22,01";"19,46";"29,92";"29,26";"32,46";"31,86";"30,36";"29,99";"29,24";"27,92";"27,86";"27,54";"27,74";"26,19"
"Totaal ";"Zakelijk, beroepsmatig";"30,56";"26,44";"27,80";"22,91";"31,01";"28,18";"31,77";"28,57";"31,28";"26,07";"31,44";"26,69";"37,15";"34,31";"38,68";"34,01";"36,93";"36,49";"36,42";"35,98";"36,99";"31,57";"36,07";"32,59"
"Totaal ";"Winkelen, boodschappen doen";"5,75";"5,23";"4,31";"3,95";"5,32";"5,02";"6,46";"5,50";"6,85";"6,55";"7,90";"6,74";"15,11";"14,62";"15,48";"15,21";"14,74";"14,38";"15,02";"14,33";"14,98";"14,72";"16,07";"13,82"
"Totaal ";"Visite, logeren";"21,41";"19,34";"24,55";"22,16";"22,09";"19,18";"20,04";"18,39";"18,89";"17,28";"21,09";"20,40";"29,84";"28,58";"37,59";"36,40";"30,16";"27,84";"26,88";"26,19";"25,24";"24,09";"28,56";"28,03"
"Totaal ";"Uitgaan, sport, hobby";"13,09";"12,63";"11,52";"11,22";"13,54";"13,75";"12,96";"11,92";"13,66";"12,77";"15,02";"14,64";"28,99";"29,65";"31,35";"32,46";"29,53";"30,24";"28,63";"27,61";"25,79";"27,69";"29,31";"26,97"
"Totaal ";"Toeren, wandelen";"9,52";"7,12";"8,78";"6,91";"9,67";"7,00";"9,51";"7,02";"9,79";"7,46";"10,03";"7,35";"69,25";"58,51";"77,48";"67,24";"67,13";"56,00";"64,53";"56,11";"69,06";"55,65";"67,21";"58,41"
