"Mobiliteit: per verplaatsing, verplaatsingskenmerken, motieven, regio's"
"Populatie: Populatie: 6 jaar of ouder"
"Marges: Waarde"
"";""
"";"Onderwerp";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing"
"";"Regiokenmerken";"Nederland";"Nederland";"Noord-Holland (PV)";"Noord-Holland (PV)";"Zeer sterk stedelijk";"Zeer sterk stedelijk";"Niet stedelijk";"Niet stedelijk";"Nederland";"Nederland";"Noord-Holland (PV)";"Noord-Holland (PV)";"Zeer sterk stedelijk";"Zeer sterk stedelijk";"Niet stedelijk";"Niet stedelijk"
"";"Perioden";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023"
"Verplaatsingskenmerken";"Reismotieven";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten"
"Totaal ";"Totaal";"13,29";"11,76";"12,67";"10,96";"12,11";"10,57";"15,68";"13,78";"27,46";"27,05";"29,62";"28,49";"29,55";"29,29";"28,06";"26,73"
"Totaal ";"Van en naar het werk";"19,26";"18,33";"18,32";"16,65";"17,26";"16,35";"22,01";"19,46";"29,92";"29,26";"33,08";"31,03";"32,46";"31,86";"27,74";"26,19"
"Totaal ";"Zakelijk, beroepsmatig";"30,56";"26,44";"29,36";"24,22";"27,80";"22,91";"31,44";"26,69";"37,15";"34,31";"38,69";"33,75";"38,68";"34,01";"36,07";"32,59"
"Totaal ";"Winkelen, boodschappen doen";"5,75";"5,23";"4,99";"4,76";"4,31";"3,95";"7,90";"6,74";"15,11";"14,62";"15,47";"15,28";"15,48";"15,21";"16,07";"13,82"
"Totaal ";"Onderwijs volgen, cursus, kinderopvang";"9,25";"9,03";"8,33";"8,07";"7,54";"7,15";"13,21";"13,73";"23,36";"24,33";"23,61";"24,13";"22,37";"24,28";"30,35";"29,15"
"Totaal ";"Visite, logeren";"21,41";"19,34";"22,25";"18,92";"24,55";"22,16";"21,09";"20,40";"29,84";"28,58";"35,69";"30,64";"37,59";"36,40";"28,56";"28,03"
"Totaal ";"Uitgaan, sport, hobby";"13,09";"12,63";"12,57";"12,03";"11,52";"11,22";"15,02";"14,64";"28,99";"29,65";"31,64";"32,14";"31,35";"32,46";"29,31";"26,97"
"Totaal ";"Toeren, wandelen";"9,52";"7,12";"10,25";"6,95";"8,78";"6,91";"10,03";"7,35";"69,25";"58,51";"76,41";"64,05";"77,48";"67,24";"67,21";"58,41"
"Verplaatsing op zondag";"Totaal";"18,33";"14,52";"17,16";"13,98";"17,31";"13,53";"23,17";"15,97";"36,66";"34,11";"41,56";"35,93";"40,27";"36,44";"43,14";"33,72"
"Verplaatsing op zondag";"Van en naar het werk";"15,43";"13,58";"15,79";"14,56";"13,77";"9,86";".";".";"26,07";"24,01";"32,09";"25,96";"27,23";"28,36";".";"."
"Verplaatsing op zondag";"Zakelijk, beroepsmatig";".";"23,36";".";".";".";".";".";".";"40,53";"32,00";".";".";".";".";".";"."
"Verplaatsing op zondag";"Winkelen, boodschappen doen";"7,55";"6,60";"5,95";"7,53";"4,70";"5,50";"14,51";"10,14";"16,95";"16,15";"16,09";"17,73";"16,00";"17,32";"22,01";"16,36"
"Verplaatsing op zondag";"Onderwijs volgen, cursus, kinderopvang";".";"13,90";".";".";".";".";".";".";"25,30";"23,88";".";".";".";".";".";"."
"Verplaatsing op zondag";"Visite, logeren";"28,19";"23,53";"31,47";"21,25";"32,18";"27,37";"27,48";"20,51";"33,98";"30,88";"41,84";"32,80";"42,93";"40,01";"32,78";"26,17"
"Verplaatsing op zondag";"Uitgaan, sport, hobby";"17,67";"15,68";"18,39";"17,24";"17,35";"15,43";"17,77";"16,44";"33,45";"34,21";"38,66";"38,28";"37,96";"37,27";"34,65";"29,82"
"Verplaatsing op zondag";"Toeren, wandelen";"14,50";"9,02";"12,94";"9,01";"14,03";"7,69";"16,13";"9,98";"92,44";"69,88";"112,33";"75,65";"104,19";"75,16";"100,73";"75,46"
"Verplaatsing op maandag";"Totaal";"12,41";"11,21";"12,67";"10,05";"10,97";"9,91";"15,06";"13,93";"25,64";"26,11";"28,92";"26,69";"27,00";"27,83";"26,86";"26,32"
"Verplaatsing op maandag";"Van en naar het werk";"19,86";"18,66";"19,34";"16,43";"18,18";"16,39";"20,57";"22,73";"30,55";"29,64";"33,87";"30,46";"32,37";"31,54";"26,50";"29,26"
"Verplaatsing op maandag";"Zakelijk, beroepsmatig";"30,77";"26,22";"31,98";"16,77";"30,93";"25,16";".";".";"35,86";"33,43";"40,25";"27,76";"39,15";"35,20";".";"."
"Verplaatsing op maandag";"Winkelen, boodschappen doen";"4,71";"4,63";"3,54";"4,61";"3,22";"3,43";"7,48";"6,01";"13,70";"13,79";"12,80";"13,97";"13,73";"14,08";"15,30";"12,02"
"Verplaatsing op maandag";"Onderwijs volgen, cursus, kinderopvang";"8,86";"8,90";"8,41";"6,85";"7,18";"5,95";"11,48";".";"22,27";"24,32";"23,83";"21,71";"22,27";"23,05";"26,37";"."
"Verplaatsing op maandag";"Visite, logeren";"16,86";"17,53";"15,58";"21,77";"18,08";"23,27";".";".";"26,96";"27,57";"31,76";"30,44";"32,66";"37,88";".";"24,84"
"Verplaatsing op maandag";"Uitgaan, sport, hobby";"10,89";"10,77";"13,48";"8,54";"7,97";"8,62";".";"15,80";"26,82";"26,52";"35,49";"26,76";"27,14";"28,24";".";"26,88"
"Verplaatsing op maandag";"Toeren, wandelen";"6,68";"6,01";"8,39";"6,12";"6,43";"6,04";"5,65";"5,87";"57,13";"54,30";"61,20";"63,68";"64,94";"65,52";"53,87";"53,71"
"Verplaatsing op dinsdag";"Totaal";"13,12";"11,37";"11,45";"10,69";"11,30";"9,80";"14,36";"14,00";"26,85";"26,28";"27,07";"27,65";"27,92";"27,55";"26,60";"27,21"
"Verplaatsing op dinsdag";"Van en naar het werk";"21,06";"19,69";"17,95";"19,48";"18,78";"16,86";"24,62";"22,54";"31,39";"30,75";"32,72";"33,60";"33,86";"32,52";"29,48";"28,55"
"Verplaatsing op dinsdag";"Zakelijk, beroepsmatig";"33,82";"26,18";"42,38";"20,40";"26,72";"24,21";".";".";"40,16";"35,88";"49,44";"31,63";"41,30";"37,14";".";"."
"Verplaatsing op dinsdag";"Winkelen, boodschappen doen";"4,79";"4,77";"4,09";"3,76";"3,62";"3,05";"5,45";"5,82";"13,67";"14,55";"13,93";"15,76";"14,24";"14,65";"12,44";"13,75"
"Verplaatsing op dinsdag";"Onderwijs volgen, cursus, kinderopvang";"9,30";"8,99";"6,22";"9,49";"7,15";"8,15";"12,26";"17,55";"23,50";"24,50";"21,80";"24,98";"22,53";"24,24";"30,71";"33,89"
"Verplaatsing op dinsdag";"Visite, logeren";"15,89";"16,49";"17,45";"18,41";"15,96";"18,80";"14,15";".";"26,64";"26,94";"30,16";"28,88";"30,16";"32,00";"25,01";"30,09"
"Verplaatsing op dinsdag";"Uitgaan, sport, hobby";"9,97";"9,05";"5,96";"10,12";"9,54";"6,90";".";"12,72";"26,48";"25,93";"25,33";"30,23";"29,11";"26,84";"27,66";"26,35"
